scientificName
Achillea millefolium
Angelica sylvestris
Arctostaphylos uva-ursi
Bryanae
Carduinae
Carex magellanica
Carex tenuiflora/marina/ursina/loliaceae/Eleocharis uniglumis
Cryptogramma crispa
Draba
Drosera anglica
Euphrasia
Galium mollugo/odoratum/uliginosum/verum
Geranium sylvaticum
Grimmia/Codriophorus/Dichodontium/Racomitrium heterostichum
Gymnocarpium
Hygrobiella laxifolia
Hylocomium splendens
Hypnales
Isoetes
Juncus biglumis
Linnaea borealis
Nannochloropsis
Nannochloropsis granulata
Nardus stricta
Niphotrichum canescens
Niphotrichum panschii/canescens
Nuphar/Nymphaea alba
Orchidinae
Oreojuncus trifidus
Orthilia secunda
Oxyria digyna
Oxytropis cf. campestris
Oxytropis lapponica/deflexa
Papaver
Parnassia palustris
Pedicularis cf. hirsuta
Pedicularis lapponica
Pedicularis palustris
Persicaria amphibia
Phalaris
Phragmites australis
Phyllodoce caerulea
Picea abies
Pinguicula vulgaris
Pinus
Plagiothecium denticulatum
Poa pratensis/alpina/Anthoxanthum
Pogonatum dentatum/Oligotrichum hercynicum
Pohlia wahlenbergii/Pohlia nutans
Polypodium vulgare
Polystichum aculeatum
Polystichum lonchitis
Pooideae
Populus tremula
Porella/Nardia
Potamogeton alpinus
Potamogeton berchtoldii/friesii/obtusifolius
Potamogeton perfoliatus
Potamogeton praelongus
Potentilla
Potentilla erecta
Prunus padus
Pseudohygrohypnum/Hygrohypnella
Pteridium aquilinum subsp. latiusculum
Ptychostomum/Rosulabryum/Bryum
Puccinellia
Pyrola minor
Pyrola rotundifolia/grandiflora
Racomitrium lanuginosum
Racomitrium lanuginosum/Saelania glaucescens
Ranunculus acris/subborealis
Ranunculus cf. hyperboreus
Ranunculus cf. reptans
Ranunculus cf. sceleratus
Sanionia uncinata
Saxifraga aizoides/oppositifolia
Saxifraga cernua
Saxifraga cespitosa
Saxifraga cf. hirculus/flagellaris
Saxifraga cotyledon/paniculata
Saxifraga oppositifolia
Scapania spp./Douinia ovata
Scapania undulata
Sciuro-hypnum starkei/reflexum
Scorpidium/Drepanocladus/Hylocomiadelphus
Scorpidium/Tomentypnum/Leskea/Thuidium
Scorzoneroides autumnalis
Sibbaldia
Sibbaldia procumbens
Silene acaulis
Solenostoma obovatum
Solidago
Sorbus aucuparia cf.
Sparganium angustifolium/hyperboreum
Sparganium erectum/natans/glomeratum/emersum
Sphagnum magellanicum
Sphagnum russowii
Stellaria
Struthiopteris spicant
Stuckenia filiformis
Stuckenia vaginata
Subularia aquatica
Tephroseris
Tetraphis pellucida/Buxbaumia viridis
Thalictrum
Thelypteris palustris
Timmia norvegica/austriaca
Tofieldia pusilla
Trichophorum alpinum
Trichophorum cespitosum
Trientalis europaea
Tripleurospermum maritimum
Trisetum
Tritomaria/Barbilophozia/Anastrepta/Harpanthus/Tetralophozia
Trollius europaeus
Urtica dioica
Utricularia
Vaccinium microcarpum
Vaccinium myrtillus
Vaccinium oxycoccos
Vaccinium uliginosum
Vaccinium vitis-idaea
Valeriana sambucifolia
Veronica cf. fruticans
Veronica longifolia
Veronica scutellata/alpina
Larix
Vicia
Viola biflora
Viola epipsila
Viola rupestris/riviniana/Viola canina
Woodsia alpina/glabella
Woodsia ilvensis
Erica cf.
Ericaceae
Rhododendron cf.
Allium cepa
Anacardiaceae
Brassicaceae
Cannabis sativa
Cucurbitaceae
Hevea brasiliensis
Arachis
Indigofereae
indigoferoid/millettioid clade
Persea
Theobroma cacao
Musaceae
Oleeae
Avena
Orcuttia pilosa
PACMAD clade
Zea mays cf.
Zoysia
Rutaceae
Koelreuteria
Capsicum
Solanaceae
Solanoideae
Theaceae
Allium victorialis
Apiaceae
Spinacia oleracea
Lens
Hibiscus/Abutilon
Hordeum vulgare
Oryza cf.
